V_GK,V_AK,V_A
0,0.5934928785,0.08608987039
0,3.559066501,0.2529470861
0,7.432462117,0.4071998222
0,12.67887197,0.5126146494
0,18.2438409,0.6207228396
0,23.66790016,0.7179219434
0,29.51836768,0.8179446387
0,35.8695157,0.9230743552
0,41.79225777,1.024458405
0,47.83391871,1.125593765
0,53.51047521,1.220674473
0,58.93072393,1.323903198
0,64.53032019,1.415995565
0,69.69519544,1.524243748
0,75.4193978,1.63030772
0,80.74214053,1.737400296
0,86.55863515,1.855660684
0,92.52869673,1.974889069
0,98.62523821,2.086104445
0,103.8171586,2.191574216
0,108.8293517,2.297007694
0,112.9160064,2.38601592
0,117.9639924,2.488736396
0,122.335078,2.586783592
0,127.895291,2.703327269
0,132.6341377,2.81088689
0,137.2196394,2.913072358
0,141.0334532,3.005404013
0,145.8512605,3.116513108
0,151.9698813,3.25366824
0,157.2463999,3.376686637
0,162.8921185,3.499764618
-0.5,1.744943836,0.02455508223
-0.5,12.14402114,0.09579050766
-0.5,22.6667962,0.1794370176
-0.5,32.04747487,0.2739329598
-0.5,42.0787553,0.3810183377
-0.5,51.97111959,0.5004379173
-0.5,63.87065675,0.6576726867
-0.5,67.47409489,0.7007624426
-0.5,73.673493,0.7887865525
-0.5,81.9020416,0.9092486183
-0.5,88.23559248,1.005420923
-0.5,94.94806864,1.118030156
-0.5,100.4600757,1.209418375
-0.5,106.469478,1.317279819
-0.5,110.8243201,1.398506071
-0.5,116.721915,1.499442243
-0.5,122.1597356,1.607446735
-0.5,124.4120803,1.648913989
-0.5,132.4170313,1.805297155
-0.5,138.5846933,1.91466583
-0.5,145.4871713,2.053368743
-0.5,150.660575,2.152843086
-0.5,155.8150517,2.251464764
-0.5,160.4920183,2.353092004
-0.5,165.6716787,2.475027518
-0.5,172.5083259,2.617998575
-0.5,179.242674,2.766927051
-0.5,184.4255484,2.868491502
-0.5,189.3692509,2.986571682
-0.5,190.7806095,3.021535578
-0.5,198.8352319,3.201078391
-0.5,201.6475625,3.275165739
-0.5,209.9243754,3.457271524
-0.5,211.1573519,3.48918589
-1,50.15205239,0.0579351159
-1,61.57932592,0.1367335865
-1,71.58386857,0.2109389393
-1,79.70321392,0.2899229012
-1,90.68821058,0.3967835556
-1,99.77791518,0.4990775909
-1,107.9124027,0.5920793953
-1,118.9276836,0.7269757347
-1,126.5997047,0.8293492662
-1,134.7594291,0.9457141415
-1,141.0188141,1.052839783
-1,149.1886333,1.178549887
-1,157.61997,1.327609812
-1,167.4891797,1.495280698
-1,176.654595,1.667663945
-1,185.3373544,1.830728463
-1,193.054802,1.975155522
-1,200.5561584,2.138286288
-1,209.4852932,2.310682785
-1,215.2923065,2.436525382
-1,222.0646317,2.581005439
-1,228.1180204,2.716180015
-1,233.673611,2.828018019
-1,238.2739845,2.930563793
-1,244.337468,3.075083597
-1,251.1148406,3.224236268
-1.5,95.99927817,0.06174026831
-1.5,103.7437359,0.1102042226
-1.5,111.4870168,0.1575788647
-1.5,119.2396578,0.2136184899
-1.5,127.0060499,0.2823882129
-1.5,134.536218,0.3550038125
-1.5,142.0703226,0.4312636564
-1.5,149.112928,0.4975786258
-1.5,155.4421512,0.5710707116
-1.5,161.5329314,0.6463544336
-1.5,167.1460198,0.7244754209
-1.5,172.7488378,0.7930886551
-1.5,178.6018313,0.8707715281
-1.5,183.9719412,0.9464855059
-1.5,188.8607485,1.021694048
-1.5,193.7522886,1.099432435
-1.5,198.6421029,1.175573164
-1.5,203.5378415,1.257198367
-1.5,208.194846,1.340345675
-1.5,213.0929956,1.424202761
-1.5,218.2266113,1.503512435
-1.5,222.1563102,1.580947376
-1.5,226.3223187,1.654615649
-1.5,230.7407612,1.739444388
-1.5,235.1529948,1.818525308
-1.5,239.5658175,1.898151528
-1.5,243.7392943,1.97873356
-1.5,247.6709127,2.057945417
-1.5,251.5959798,2.131092429
-1.5,255.2785777,2.202303861
-1.5,258.969848,2.281543664
-1.5,263.1427678,2.361610042
-1.5,267.0766813,2.442946615
-1.5,270.7614492,2.516166908
-1.5,274.208752,2.592084042
-1.5,277.9007085,2.671959172
-1.5,282.0813378,2.759162628
-1.5,285.7476392,2.815287537
-2,144.0046068,0.06020496076
-2,151.3298109,0.102025289
-2,159.0754017,0.1515382367
-2,166.8284973,0.2079987324
-2,174.5878828,0.2702820968
-2,182.3472896,0.3325852668
-2,189.6369564,0.4050870225
-2,196.6943174,0.4850619227
-2,203.7498812,0.5633731463
-2,210.080678,0.6383220011
-2,215.4528821,0.7159745801
-2,221.2978885,0.7862634257
-2,227.1512219,0.8642610175
-2,232.2807996,0.9398325089
-2,238.0663879,1.023585914
-2,244.7285964,1.114338103
-2,249.2085674,1.195436776
-2,253.7076633,1.274010431
-2,258.925319,1.350200013
-2,263.3341192,1.426102444
-2,267.2609006,1.500836417
-2,271.6683828,1.575518678
-2,276.0765121,1.650800059
-2,280.7354196,1.735709082
-2,284.6485011,1.797760415
-2,289.5911081,1.87826794
-2,293.6587508,1.949886175
-2,297.6393159,2.02990439
-2,301.8111189,2.108936862
-2,306.2816523,2.186356247
-2,309.6652969,2.258974448
-2,313.8364361,2.337392487
-2,317.7599699,2.409120006
-2.5,188.2991545,0.05673788447
-2.5,196.0282298,0.09096155812
-2.5,203.7634999,0.1309201323
-2.5,211.5063413,0.1778878364
-2.5,219.2587223,0.2336867827
-2.5,227.0201631,0.2978728521
-2.5,234.2988435,0.3602039893
-2.5,240.8603225,0.4261766499
-2.5,247.9175493,0.5060273591
-2.5,254.9662742,0.5780074294
-2.5,261.2941114,0.6502164002
-2.5,267.3853772,0.7259496708
-2.5,273.2434832,0.8083655045
-2.5,279.204736,0.8851193276
-2.5,284.2272927,0.9627662294
-2.5,289.5960673,1.037244042
-2.5,294.4840359,1.111676136
-2.5,299.1283626,1.183086944
-2.5,304.7745821,1.260089081
-2.5,309.875491,1.340910402
-2.5,313.3188295,1.413157667
-2.5,317.5348097,1.49885182
-2.5,323.0647582,1.57874753
-2.5,327.2849286,1.65805012
-2.5,332.1796936,1.738773965
-2.5,337.0198688,1.813467374
-2.5,340.5095849,1.884142599
-2.5,344.4357857,1.958339159
-2.5,348.2629575,2.015036305
-3,236.8679337,0.06817631724
-3,244.6022558,0.1072573328
-3,252.3357757,0.1455956355
-3,260.0720234,0.1864591618
-3,267.8344575,0.2515648349
-3,275.6004378,0.3199532987
-3,283.1918806,0.3899526054
-3,291.614508,0.4579828577
-3,298.8977367,0.5245245198
-3,305.4697179,0.6002196217
-3,312.2763669,0.6706281475
-3,318.4862737,0.7523459112
-3,325.1940745,0.8350931285
-3,331.527023,0.9120338684
-3,337.3815341,0.9911217155
-3,342.7502299,1.065526541
-3,347.8812114,1.142397662
-3,353.0114845,1.218612881
-3,357.9017939,1.29521197
-3,362.7929102,1.372558015
-3,367.4451705,1.451313368
-3,372.0984862,1.531045801
-3,376.4994156,1.599661865
-3.5,282.5215934,0.05130583166
-3.5,290.2516046,0.08639600361
-3.5,297.9920776,0.1311711508
-3.5,305.7407714,0.1835566289
-3.5,313.4864806,0.2331792152
-3.5,321.2553391,0.3042322497
-3.5,329.0196361,0.3710624312
-3.5,336.5478915,0.4419073519
-3.5,344.0791776,0.515557991
-3.5,351.8534382,0.5916119585
-3.5,359.151655,0.6720289109
-3.5,365.7244605,0.7484870755
-3.5,372.3025593,0.8298455124
-3.5,379.1193465,0.909639472
-3.5,385.2123228,0.9869562431
-3.5,390.3376103,1.058556036
-3.5,395.4668519,1.133816399
-3.5,400.834228,1.206999477
-3.5,404.2503875,1.254085781
-4,319.0648029,0.05658522352
-4,326.7866068,0.08407744323
-4,334.5190749,0.1214420848
-4,342.2545478,0.1615883627
-4,349.998798,0.2098602406
-4,357.753847,0.2681290974
-4,365.5033086,0.3212254577
-4,373.2572445,0.3784638975
-4,380.7787374,0.4430484317
-4,388.3068029,0.5137175342
-4,396.0730985,0.5823980138
-4,403.3574462,0.649975634
-4,410.1654827,0.7216686682
-4,416.9083047,0.7886218469
-4,423.30241,0.8665460501
-4,428.8868415,0.9181378817
-4.5,366.6676679,0.06394961157
-4.5,374.3962868,0.09775088937
-4.5,382.1305448,0.1367724879
-4.5,389.8666962,0.1775468887
-4.5,397.6098711,0.2248232651
-4.5,405.361511,0.2799362123
-4.5,413.1082595,0.3305208991
-4.5,420.8603817,0.3860802366
-4.5,428.6243118,0.4525707817
-4.5,436.3839861,0.5151215227
-4.5,444.1447836,0.5787120616
-4.5,448.7541628,0.6177702388
-5,469.2551326,0.4176115787
-5,460.6758445,0.3503356509
-5,450.196217,0.2738204898
-5,438.7815619,0.2067035546
-5,428.3246476,0.1512151573
-5,417.8753044,0.1027356812
-5,406.945829,0.04727378263
